checklist_id,term,wave,source_set,baseline_file,baseline_line,baseline_dp_id,baseline_section,baseline_commit,first_use_file,first_use_line,recommended_file,recommended_section,placement_priority,placement_fitness_rating,divergence_match_category,divergence_reliability,divergence_similarity,before_evidence_ref,action_type,decision_detail,reason_code,reason_why,reason_quality,semantic_change_flag,review_attention,after_file,after_line,after_dp_id,after_section,after_commit,after_evidence_ref,phase1_status,final_quality,batch_id,quarantine_status,quarantine_reason,notes,rationale_uuid,rationale_inserted_at_utc,rationale_text_sha256,recommendation_priority,recommendation_used,deviation_permit_path,deviation_permit_sha256,deviation_approved_by,deviation_status
WA-011,implementation,WA,v2-foundational,generics.rst,65,fls_z311nxou9yi3,Generic Parameters,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,1457,expressions.rst,Arithmetic Expressions,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=implementation,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WA-012,method,WA,v2-foundational,expressions.rst,3654,fls_b7i26954j1hc,Method Call Expressions,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,3659,,,none,good,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=method,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WA-013,crate,WA,v2-foundational,macros.rst,316,fls_pcce9gmjpxba,Procedural Macros,19e75856eac5694e5d613c7c59b429848d333992,types-and-traits.rst,53,program-structure-and-compilation.rst,Crates,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=crate,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WA-014,module,WA,v2-foundational,program-structure-and-compilation.rst,73,fls_odd1hj3y1mgu,Modules,19e75856eac5694e5d613c7c59b429848d333992,macros.rst,735,entities-and-resolution.rst,Visibility,low_forward_ref,acceptable_at_home,exact_match,high,,inputs/fls-pr6-placement-fitness-v2.json:term=module,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WA-015,statement,WA,v2-foundational,macros.rst,552,fls_6v06zvi1ctub,Macro Invocation,19e75856eac5694e5d613c7c59b429848d333992,macros.rst,656,statements.rst,Statements,medium,questionable,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=statement,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-001,field list,WB,v2-placement-priority,types-and-traits.rst,772,fls_YERnNZiSdCRn,Enum Types,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,658,expressions.rst,Path Expressions,high,poor,cosmetic,high,,inputs/fls-pr6-placement-fitness-v2.json:term=field list,move,move to expressions.rst:658 (fls_4q6m9t1w7zpa),relocate-conceptual-owner,"Moved field list from Enum Types (types-and-traits.rst:772, fls_YERnNZiSdCRn) to Path Expressions (expressions.rst:658, fls_4q6m9t1w7zpa) where unit-struct wording now introduces it at first encounter in expression reading order, improving discoverability without changing Rust 2021 semantics.",pass,none,none,expressions.rst,658,fls_4q6m9t1w7zpa,Path Expressions,8be070702fdc09a253d2b598fc55dcec2d02b0ec,,completed,resolved-high,batch-002,,,,c6650858-0f82-4557-abdb-7f5e4c4cefdb,2026-02-12T01:12:01Z,a6255372a37483c6ad468e18d2586bdb56570bca26acf712c41d39a8f87f6873,high,yes,,,,
WB-002,type specification,WB,v2-placement-priority,entities-and-resolution.rst,759,fls_9k9hourczbv7,Scope Hierarchy,19e75856eac5694e5d613c7c59b429848d333992,macros.rst,355,macros.rst,Function-like Macros,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=type specification,move,move to macros.rst:355 (fls_etyo9bmzxby6),relocate-conceptual-owner,"Relocated type specification from Scope Hierarchy (entities-and-resolution.rst:759, fls_9k9hourczbv7) to Function-like Macros (macros.rst:355, fls_etyo9bmzxby6) so the term is defined exactly where the macro parameter rule first depends on it, reducing forward lookup while preserving meaning.",pass,none,none,macros.rst,355,fls_etyo9bmzxby6,Function-like Macros,8be070702fdc09a253d2b598fc55dcec2d02b0ec,,completed,resolved-high,batch-002,,,,d0716cd8-9154-4262-90f3-e283221b8662,2026-02-12T01:12:02Z,c5e921f780ce606e627705e33c9f33f57d6b43995ad1d54eefb2c76774490e29,high,yes,,,,
WB-003,concrete type,WB,v2-placement-priority,attributes.rst,1711,fls_61vt1r8g51nh,Attribute ``type_length_limit``,19e75856eac5694e5d613c7c59b429848d333992,types-and-traits.rst,56,types-and-traits.rst,Types,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=concrete type,move,move to types-and-traits.rst:56 (fls_cTF1sJ9I2XJd),relocate-conceptual-owner,"Shifted concrete type from the type_length_limit attribute paragraph (attributes.rst:1711, fls_61vt1r8g51nh) into Types (types-and-traits.rst:56, fls_cTF1sJ9I2XJd), which is the stable type-model home and first explanatory location; this is placement-only and does not alter normative behavior.",pass,none,none,types-and-traits.rst,56,fls_cTF1sJ9I2XJd,Types,8be070702fdc09a253d2b598fc55dcec2d02b0ec,,completed,resolved-high,batch-002,,,,5d1a33fa-f1d3-41da-b25c-4a57d826e846,2026-02-12T01:12:02Z,b53e65ca95ebb24155ec76a130474c68c86fdca3eb1355c3ee619165e1f2a315,high,yes,,,,
WB-004,generic function,WB,v2-placement-priority,values.rst,168,fls_mt94jvoot9dx,Statics,19e75856eac5694e5d613c7c59b429848d333992,generics.rst,62,generics.rst,Generic Parameters,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=generic function,move,move to generics.rst:62 (fls_ixmgqupxvf73),relocate-conceptual-owner,"Moved generic function from Statics (values.rst:168, fls_mt94jvoot9dx) to Generic Parameters (generics.rst:62, fls_ixmgqupxvf73), placing the definition in the chapter that defines generic constructs before downstream uses; semantic intent for Rust 2021 remains unchanged.",pass,none,none,generics.rst,62,fls_ixmgqupxvf73,Generic Parameters,8be070702fdc09a253d2b598fc55dcec2d02b0ec,,completed,resolved-high,batch-002,,,,c98685d6-5d88-45c6-bd2f-f16891de50d1,2026-02-12T01:12:02Z,fe6d3088b81802f127989eefd86ca315287fbd010f57844a8198df01aa2caabd,high,yes,,,,
WB-005,variable,WB,v2-placement-priority,ownership-and-deconstruction.rst,40,fls_hl5tnd9yy252,Initialization,19e75856eac5694e5d613c7c59b429848d333992,macros.rst,147,macros.rst,Metavariables,high,poor,exact_match,high,,inputs/fls-pr6-placement-fitness-v2.json:term=variable,move,move to macros.rst:147 (fls_4zdait30exvn),relocate-first-use-owner,"Relocated variable from Initialization (ownership-and-deconstruction.rst:40, fls_hl5tnd9yy252) to Metavariables (macros.rst:147, fls_4zdait30exvn) because this is the first cited use site in the batch inputs; the change improves first-use discoverability and keeps technical meaning intact.",pass,none,none,macros.rst,147,fls_4zdait30exvn,Metavariables,8be070702fdc09a253d2b598fc55dcec2d02b0ec,,completed,resolved-high,batch-002,,,,f6727203-dd92-4fff-9557-63594f2e7a18,2026-02-12T01:12:02Z,7e69a6089992d3f05f03b992e611dca414d70ffd0b3ebd867c776ecc47333035,high,yes,,,,
WB-006,container operand,WB,v2-placement-priority,entities-and-resolution.rst,1284,fls_j1bip4w30q8,Field Resolution,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,456,expressions.rst,Place Expressions,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=container operand,move,move to expressions.rst:456 (fls_xm0gm2q27x2e),relocate-conceptual-owner,"Moved container operand from Field Resolution (entities-and-resolution.rst:1284, fls_j1bip4w30q8) to Place Expressions (expressions.rst:456, fls_xm0gm2q27x2e), where field-access mutability rules directly rely on it and references are denser; semantics are preserved.",pass,none,none,expressions.rst,456,fls_xm0gm2q27x2e,Place Expressions,8be070702fdc09a253d2b598fc55dcec2d02b0ec,,completed,resolved-high,batch-002,,,,732f1862-ce7e-4bf5-a223-d2a8126186f5,2026-02-12T01:12:02Z,5a7a82c2ac4175159af5b6c7385e900475b4f38840afbdc29c968775e6130017,high,yes,,,,
WB-007,undefined behavior,WB,v2-placement-priority,unsafety.rst,14,fls_r1m7v4k2t9pa,Unsafety,19e75856eac5694e5d613c7c59b429848d333992,types-and-traits.rst,348,types-and-traits.rst,Bool Type,high,poor,exact_match,high,,inputs/fls-pr6-placement-fitness-v2.json:term=undefined behavior,move,move to types-and-traits.rst:348 (fls_M4Q4vAJmapq8),relocate-first-use-owner,"Relocated undefined behavior from Unsafety (unsafety.rst:14, fls_r1m7v4k2t9pa) to Bool Type validity text (types-and-traits.rst:348, fls_M4Q4vAJmapq8), matching the first-use anchor and avoiding a forward reference in type invariants without changing normative requirements.",pass,none,none,types-and-traits.rst,348,fls_M4Q4vAJmapq8,Bool Type,8be070702fdc09a253d2b598fc55dcec2d02b0ec,,completed,resolved-high,batch-002,,,,69d125bd-375d-40f9-93f8-8f7d89bf6ece,2026-02-12T01:12:03Z,e87cfc56bb5c529845a9b944886a5e82a49f721868334c850ac2e3867b752e01,high,yes,,,,
WB-008,code point,WB,v2-placement-priority,expressions.rst,2241,fls_4h2v3pk7qz6n,Type Cast Expressions,19e75856eac5694e5d613c7c59b429848d333992,lexical-elements.rst,34,lexical-elements.rst,Character Set,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=code point,move,move to lexical-elements.rst:34 (fls_4h2v3pk7qz6n),relocate-first-use-owner,"Moved code point from Type Cast Expressions (expressions.rst:2241, fls_eb00s8fxlvjb context) to Character Set (lexical-elements.rst:34, fls_4h2v3pk7qz6n), so Unicode terminology is defined at its initial appearance and cast rules reference the established term; no semantic delta.",pass,none,none,lexical-elements.rst,34,fls_4h2v3pk7qz6n,Character Set,8be070702fdc09a253d2b598fc55dcec2d02b0ec,,completed,resolved-high,batch-002,,,,34dffd2b-4333-40ac-ab9f-9a87ccd01fe9,2026-02-12T01:12:03Z,79a1197231d92a47a1bd75afa2cfabc81dbd3fc02b88aca60322ba019535a55f,high,yes,,,,
WB-009,receiver operand,WB,v2-placement-priority,entities-and-resolution.rst,1372,fls_mbdS0xiNlj92,Method Resolution,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,3658,expressions.rst,Method Call Expressions,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=receiver operand,move,move to expressions.rst:3658 (fls_jx3ryre0xs88),relocate-first-use-owner,"Relocated receiver operand from Method Resolution (entities-and-resolution.rst:1372, fls_mbdS0xiNlj92) to Method Call Expressions (expressions.rst:3658, fls_jx3ryre0xs88), which is the first point where the operand role is introduced operationally; this is editorial relocation only.",pass,none,none,expressions.rst,3658,fls_jx3ryre0xs88,Method Call Expressions,8be070702fdc09a253d2b598fc55dcec2d02b0ec,,completed,resolved-high,batch-002,,,,8ca6a954-a8fd-47fe-8e17-35b5f085e82c,2026-02-12T01:12:03Z,e8c1868759c99cfe6e218710a6a50e7d24ca31fc6e0a9bffc2c92f3a16db2b61,high,yes,,,,
WB-010,associated constant,WB,v2-placement-priority,patterns.rst,379,fls_5y6ae0xqux57,Path Patterns,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,309,expressions.rst,Constant Expressions,high,poor,exact_match,high,,inputs/fls-pr6-placement-fitness-v2.json:term=associated constant,move,move to expressions.rst:309 (fls_ljc6jq5ksbcs),relocate-first-use-owner,"Moved associated constant from Path Patterns (patterns.rst:379, fls_5y6ae0xqux57) to Constant Expressions (expressions.rst:309, fls_ljc6jq5ksbcs), aligning definition with its first constant-context use and improving local readability while preserving the same concept.",pass,none,none,expressions.rst,309,fls_ljc6jq5ksbcs,Constant Expressions,8be070702fdc09a253d2b598fc55dcec2d02b0ec,,completed,resolved-high,batch-002,,,,9f504351-2c64-4ca4-97f3-6c1cd2a2ee19,2026-02-12T01:12:03Z,8f2e0e4df581038ce80142e845d895833e14d733000e0e7c96826876c301486a,high,yes,,,,
WB-011,crate root module,WB,v2-placement-priority,entities-and-resolution.rst,973,fls_atvnwly4w8g2,Preludes,19e75856eac5694e5d613c7c59b429848d333992,entities-and-resolution.rst,1002,program-structure-and-compilation.rst,Compilation Roots,high,poor,inline_definition,medium,,inputs/fls-pr6-placement-fitness-v2.json:term=crate root module,move,move to program-structure-and-compilation.rst:210 (fls_fhiqvgdamq5),relocate-conceptual-owner,"Relocated crate root module from Preludes (entities-and-resolution.rst:973, fls_atvnwly4w8g2) to Compilation Roots (program-structure-and-compilation.rst:210, fls_fhiqvgdamq5), which is the owning section for crate roots and compilation inputs; normative meaning is unchanged.",pass,none,none,program-structure-and-compilation.rst,210,fls_fhiqvgdamq5,Compilation Roots,8be070702fdc09a253d2b598fc55dcec2d02b0ec,,completed,resolved-high,batch-002,,,,4cd51185-1fce-4ca8-8878-0a05238922a1,2026-02-12T01:12:03Z,a4104632c74108a5a1297ba0f80ba7c1fea3be0237646c700523545f306dfc1b,high,yes,,,,
WB-012,associated trait function,WB,v2-placement-priority,implementations.rst,224,fls_qmhduwunxww0,Implementation Conformance,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,294,associated-items.rst,Associated Items,high,poor,moderate_divergence,medium,,inputs/fls-pr6-placement-fitness-v2.json:term=associated trait function,move,move to associated-items.rst:107 (fls_b6nns7oqvdpm),relocate-conceptual-owner,"Moved associated trait function from Implementation Conformance (implementations.rst:224, fls_qmhduwunxww0) to Associated Items (associated-items.rst:107, fls_b6nns7oqvdpm), where trait-associated item categories are defined and later conformance rules can reference them; semantics preserved.",pass,none,none,associated-items.rst,107,fls_b6nns7oqvdpm,Associated Items,8be070702fdc09a253d2b598fc55dcec2d02b0ec,,completed,resolved-high,batch-002,,,,7f0a0b79-43c7-4dd5-999a-bbcadbbff018,2026-02-12T01:12:04Z,f5bde692839fe5ebc41db35f46b450e718b7f02b885031bed1add30e5a5d4dd9,high,yes,,,,
WB-013,size,WB,v2-placement-priority,expressions.rst,2315,fls_1pbwigq6f3ha,Type Cast Expressions,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,2319,types-and-traits.rst,Type Layout,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=size,move,move to types-and-traits.rst:1641 (fls_1pbwigq6f3ha),relocate-conceptual-owner,"Relocated size from numeric-cast semantics (expressions.rst:2315, fls_kc3gwj9x3jnr) to Type Layout (types-and-traits.rst:1641, fls_1pbwigq6f3ha), concentrating layout terminology in its representation section and letting cast rules consume that definition; behavior remains the same.",pass,none,none,types-and-traits.rst,1641,fls_1pbwigq6f3ha,Type Layout,8be070702fdc09a253d2b598fc55dcec2d02b0ec,,completed,resolved-high,batch-002,,,,48959dff-d0ed-42d7-944b-df798fed4cd0,2026-02-12T01:12:04Z,398a17a6e407fadbc121648e0fc28b0a8565cc242e3e77f1cd3c574235310f28,high,yes,,,,
WB-014,floating-point type,WB,v2-placement-priority,expressions.rst,1553,fls_xcUkEjuclTjp,Arithmetic Expressions,19e75856eac5694e5d613c7c59b429848d333992,lexical-elements.rst,1061,lexical-elements.rst,Float Literals,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=floating-point type,move,move to lexical-elements.rst:1084 (fls_4sxt1ct7fyen),relocate-first-use-owner,"Moved floating-point type from arithmetic evaluation list (expressions.rst:1553, fls_NcLf4o1dpniS) to Float Literals inference rule (lexical-elements.rst:1084, fls_4sxt1ct7fyen), which is the earliest lexical mention in this placement model; this is editorial and non-normative.",pass,none,none,lexical-elements.rst,1084,fls_4sxt1ct7fyen,Float Literals,8be070702fdc09a253d2b598fc55dcec2d02b0ec,,completed,resolved-high,batch-002,,,,a2236713-9451-4113-a0a3-5a4de4832a43,2026-02-12T01:12:04Z,6c53b487aab6164b5b276ad21e914bd911b7e8918d198fe5b01a61c31450f2dd,high,yes,,,,
WB-015,safety invariant,WB,v2-placement-priority,attributes.rst,874,fls_0tYMAQY1V55p,Attribute ``naked``,19e75856eac5694e5d613c7c59b429848d333992,types-and-traits.rst,659,types-and-traits.rst,Str Type,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=safety invariant,move,move to types-and-traits.rst:659 (fls_wacoqrtzvrwu),relocate-first-use-owner,"Relocated safety invariant from the naked attribute UB note (attributes.rst:874, fls_0tYMAQY1V55p) to Str Type undefined-behavior rule (types-and-traits.rst:659, fls_wacoqrtzvrwu), matching the first-use anchor and improving term availability before attribute-specific use; semantics unchanged.",pass,none,none,types-and-traits.rst,659,fls_wacoqrtzvrwu,Str Type,8be070702fdc09a253d2b598fc55dcec2d02b0ec,,completed,resolved-high,batch-002,,,,21fcb7fe-58c7-440c-91be-929995949340,2026-02-12T01:12:04Z,3090c7c2927d3f2a74f0ea3e2993990d121e82e38210d185600a49bc9837fdd7,high,yes,,,,
WB-016,unit struct,WB,v2-placement-priority,expressions.rst,658,fls_4q6m9t1w7zpa,Path Expressions,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,654,expressions.rst,Path Expressions,high,poor,exact_match,high,,inputs/fls-pr6-placement-fitness-v2.json:term=unit struct,move,move to expressions.rst:654 (fls_EOkrcIj9CuhV),relocate-first-use-owner,"Moved unit struct definition from Path Expressions paragraph fls_4q6m9t1w7zpa (expressions.rst:658) to the preceding path-resolution list at expressions.rst:654 (fls_EOkrcIj9CuhV), so the first mention carries the definition and the later sentence becomes a reference; no semantic impact.",pass,none,none,expressions.rst,654,fls_EOkrcIj9CuhV,Path Expressions,8be070702fdc09a253d2b598fc55dcec2d02b0ec,,completed,resolved-high,batch-002,,,,2e18f5b4-f9d1-45c8-845d-8bcb17a2759b,2026-02-12T01:12:04Z,81fd0e2641b6c725e7f0f9f6b3ad6679205acf31994b3d8deefcb0b860c39d07,high,yes,,,,
WB-017,unsafe context,WB,v2-placement-priority,expressions.rst,3765,fls_jb6krd90tjmc,Field Access Expressions,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,662,expressions.rst,Path Expressions,high,poor,exact_match,high,,inputs/fls-pr6-placement-fitness-v2.json:term=unsafe context,move,move to expressions.rst:662 (fls_gz67ju6l7uhn),relocate-first-use-owner,"Relocated unsafe context from Field Access Expressions (expressions.rst:3765, fls_jb6krd90tjmc) to Path Expressions (expressions.rst:662, fls_gz67ju6l7uhn), which is the earlier safety requirement mention for mutable statics; this improves ordering and leaves Rust 2021 rules unchanged.",pass,none,none,expressions.rst,662,fls_gz67ju6l7uhn,Path Expressions,8be070702fdc09a253d2b598fc55dcec2d02b0ec,,completed,resolved-high,batch-002,,,,c6bf091b-f223-4bf1-9c3d-bea405dc178a,2026-02-12T01:12:04Z,0cac8d20695c9c6ed0e0f2ba174b14f28492a8e5854b480da36f52215a0f1224,high,yes,,,,
WB-018,associated trait constant,WB,v2-placement-priority,implementations.rst,213,fls_v31idwjau90d,Implementation Conformance,19e75856eac5694e5d613c7c59b429848d333992,types-and-traits.rst,3643,types-and-traits.rst,Static Lifetime Elision,high,poor,moderate_divergence,medium,,inputs/fls-pr6-placement-fitness-v2.json:term=associated trait constant,move,move to types-and-traits.rst:3643 (fls_xi86he5vvill),relocate-first-use-owner,"Moved associated trait constant from Implementation Conformance (implementations.rst:213, fls_v31idwjau90d) to Static Lifetime Elision (types-and-traits.rst:3643, fls_xi86he5vvill), where the first selected mention occurs in this dataset; the relocation is definitional-only.",pass,none,none,types-and-traits.rst,3643,fls_xi86he5vvill,Static Lifetime Elision,8be070702fdc09a253d2b598fc55dcec2d02b0ec,,completed,resolved-high,batch-002,,,,fd2d7f5d-8d51-4105-b312-d495dba0b21b,2026-02-12T01:12:05Z,ef2632a814d227e46572c4e011329d9fd37e35041784032498baa73a80222a3c,high,yes,,,,
WB-019,union value,WB,v2-placement-priority,expressions.rst,3270,fls_q7v2m9t4k1pa,Struct Expressions,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,3267,expressions.rst,Struct Expressions,high,poor,exact_match,high,,inputs/fls-pr6-placement-fitness-v2.json:term=union value,move,move to expressions.rst:3267 (fls_ij8rebvupb85),relocate-first-use-owner,"Relocated union value from Struct Expressions paragraph fls_q7v2m9t4k1pa (expressions.rst:3270) to the immediately preceding constructee classification line at expressions.rst:3267 (fls_ij8rebvupb85), making the earliest occurrence definitional while keeping semantics identical.",pass,none,none,expressions.rst,3267,fls_ij8rebvupb85,Struct Expressions,8be070702fdc09a253d2b598fc55dcec2d02b0ec,,completed,resolved-high,batch-002,,,,1cb524d0-cb87-4c64-91d3-bb3a371a27cc,2026-02-12T01:12:05Z,1f0cc318b813340ae6563761be9bd81756c47f920514a15bbe3a4ae8a15b8395,high,yes,,,,
WB-020,pattern-without-alternation,WB,v2-placement-priority,ownership-and-deconstruction.rst,630,fls_3ycn4u1fe9h,Drop Scope Extension,19e75856eac5694e5d613c7c59b429848d333992,macros.rst,871,ownership-and-deconstruction.rst,Drop Order,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=pattern-without-alternation,move,move to ownership-and-deconstruction.rst:722 (fls_W2S2FrkuedYC),relocate-conceptual-owner,"Moved pattern-without-alternation from Drop Scope Extension (ownership-and-deconstruction.rst:630, fls_3ycn4u1fe9h) to Drop Order (ownership-and-deconstruction.rst:722, fls_W2S2FrkuedYC), where declaration-order rules consume the term directly and reference density is higher; no normative change.",pass,none,none,ownership-and-deconstruction.rst,722,fls_W2S2FrkuedYC,Drop Order,8be070702fdc09a253d2b598fc55dcec2d02b0ec,,completed,resolved-high,batch-002,,,,46b7b1e0-6a88-48a0-93a7-66811c1618b9,2026-02-12T01:12:05Z,f3a2e11a6b1b1bfcffbe25b8656d321cb5ec0e469fad3630cc355496bbae8cc1,high,yes,,,,
WB-021,discriminant,WB,v2-placement-priority,expressions.rst,2224,fls_t4yeovFm83Wo,Type Cast Expressions,19e75856eac5694e5d613c7c59b429848d333992,types-and-traits.rst,786,types-and-traits.rst,Enum Types,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=discriminant,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-022,field index,WB,v2-placement-priority,expressions.rst,3292,fls_y3p6rtm7ek3l,Struct Expressions,19e75856eac5694e5d613c7c59b429848d333992,patterns.rst,848,types-and-traits.rst,Struct Types,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=field index,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-023,static,WB,v2-placement-priority,expressions.rst,328,fls_ibrmiwfypldh,Constant Expressions,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,431,values.rst,Statics,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=static,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-024,evaluation,WB,v2-placement-priority,expressions.rst,2020,fls_ydt9zvh0h5ex,Comparison Expressions,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,122,expressions.rst,Expressions,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=evaluation,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-025,enum variant value,WB,v2-placement-priority,patterns.rst,836,fls_g6dytd6aq62d,Record Struct Patterns,19e75856eac5694e5d613c7c59b429848d333992,types-and-traits.rst,756,types-and-traits.rst,Enum Types,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=enum variant value,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
WB-026,immutable,WB,v2-placement-priority,expressions.rst,4867,fls_RPMOAaZ6lflI,Match Expressions,19e75856eac5694e5d613c7c59b429848d333992,values.rst,17,ffi.rst,External Statics,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=immutable,,,,,,,,,,,,,,pending,pending,,,,,,,,,,,,,
