checklist_id,term,baseline_rating,baseline_file,baseline_line,baseline_dp_id,baseline_section,baseline_commit,first_use_file,first_use_line,recommended_file,recommended_section,relocation_priority,conceptual_home,decision,reason_code,reason_why,reason_quality,before_evidence_ref,after_file,after_line,after_dp_id,after_section,after_commit,after_evidence_ref,phase1_status,phase2_status,final_quality,notes
PQ-012,dangling,poor,values.rst,62,fls_649WudgnmRKE,Values,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,1183,expressions.rst,Dereference Expression,low_forward_ref,true,relocated to first use,relocate-first-use-owner,Before values.rst:62 fls_649WudgnmRKE was separated from the dereference safety rule that enforces it. After expressions.rst:1183 fls_9wgldua1u8yt defines dangling at first semantic use and improves discoverability with no Rust 2021 semantic change.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=dangling,expressions.rst,1183,fls_9wgldua1u8yt,Dereference Expression,cf169e7b40c35fe35f35216ddc159d0e11614f00,src/expressions.rst:1183,completed,pending,resolved-high,
PQ-013,enum variant value,poor,types-and-traits.rst,774,fls_KTzAGty3T5fF,Enum Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,patterns.rst,821,patterns.rst,Record Struct Patterns,low_forward_ref,true,relocated to first use,relocate-first-use-owner,Before types-and-traits.rst:774 fls_KTzAGty3T5fF required forward reference from record struct pattern matching rules. After patterns.rst:821 fls_g6dytd6aq62d defines enum variant value where it is first matched and improves discoverability with no Rust 2021 semantic change.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=enum variant value,patterns.rst,821,fls_g6dytd6aq62d,Record Struct Patterns,cf169e7b40c35fe35f35216ddc159d0e11614f00,src/patterns.rst:821,completed,pending,resolved-high,
PQ-014,expression,poor,expressions.rst,78,fls_h5o6tgul4yor,Expressions,1c2c2b73313fb48987ed02ac044ff68cec69968e,macros.rst,648,types-and-traits.rst,Type Inference,low_forward_ref,true,relocated to first use,relocate-first-use-owner,Before expressions.rst:78 fls_h5o6tgul4yor left macro expansion context with a forward definition dependency. After macros.rst:648 fls_nsh2vwx8oiw defines expression in the first macro output rule that requires it improving discoverability with no Rust 2021 semantic change.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=expression,macros.rst,648,fls_nsh2vwx8oiw,Macro Expansion,cf169e7b40c35fe35f35216ddc159d0e11614f00,src/macros.rst:648,completed,pending,resolved-high,
PQ-015,expression-without-block,poor,expressions.rst,86,fls_p15oeage4j0e,Expressions,1c2c2b73313fb48987ed02ac044ff68cec69968e,macros.rst,647,macros.rst,Macro Expansion,low_forward_ref,true,relocated to first use,relocate-first-use-owner,Before expressions.rst:86 fls_p15oeage4j0e defined expression-without-block far from macro expansion constraints. After macros.rst:647 fls_nsh2vwx8oiw defines it at first use in expansion output requirements and improves discoverability with no Rust 2021 semantic change.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=expression-without-block,macros.rst,647,fls_nsh2vwx8oiw,Macro Expansion,cf169e7b40c35fe35f35216ddc159d0e11614f00,src/macros.rst:647,completed,pending,resolved-high,
PQ-016,field,poor,types-and-traits.rst,733,fls_74bRiJktNHvk,Abstract Data Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,1026,patterns.rst,Record Struct Patterns,high,false,relocated to first use,relocate-first-use-owner,Before types-and-traits.rst:733 fls_74bRiJktNHvk delayed field for borrow expression legality where it is used early. After expressions.rst:1026 fls_LuaPBicDlDTT defines field at first use and improves ordering discoverability with no Rust 2021 semantic change.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=field,expressions.rst,1026,fls_LuaPBicDlDTT,Borrow Expression,cf169e7b40c35fe35f35216ddc159d0e11614f00,src/expressions.rst:1026,completed,pending,resolved-high,
PQ-017,field index,poor,types-and-traits.rst,977,fls_3QSa0wGQtbHh,Struct Types,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,3263,expressions.rst,Struct Expressions,high,false,relocated to first use,relocate-first-use-owner,Before types-and-traits.rst:977 fls_3QSa0wGQtbHh required forward reading from struct expression matching logic. After expressions.rst:3264 fls_y3p6rtm7ek3l defines field index at first use in indexed initializer matching and improves discoverability with no Rust 2021 semantic change.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=field index,expressions.rst,3264,fls_y3p6rtm7ek3l,Struct Expressions,cf169e7b40c35fe35f35216ddc159d0e11614f00,src/expressions.rst:3264,completed,pending,resolved-high,
PQ-018,function,poor,functions.rst,52,fls_gn1ngtx2tp2s,Functions,1c2c2b73313fb48987ed02ac044ff68cec69968e,macros.rst,312,macros.rst,Procedural Macros,low_forward_ref,true,relocated to first use,relocate-first-use-owner,Before functions.rst:52 fls_gn1ngtx2tp2s left procedural macro legality with a forward dependency on function. After macros.rst:312 fls_ejbddhggstd2 defines function where procedural macros first rely on it improving discoverability with no Rust 2021 semantic change.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=function,macros.rst,312,fls_ejbddhggstd2,Procedural Macros,cf169e7b40c35fe35f35216ddc159d0e11614f00,src/macros.rst:312,completed,pending,resolved-high,
PQ-019,function body,poor,functions.rst,153,fls_927nfm5mkbsp,Functions,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,2585,types-and-traits.rst,Type Inference,low_forward_ref,true,relocated to first use,relocate-first-use-owner,Before functions.rst:153 fls_927nfm5mkbsp placed function body away from type inference root ordering. After types-and-traits.rst:2585 fls_Sowatt1V988J defines function body at first inference use and improves discoverability with no Rust 2021 semantic change.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=function body,types-and-traits.rst,2585,fls_Sowatt1V988J,Type Inference,cf169e7b40c35fe35f35216ddc159d0e11614f00,src/types-and-traits.rst:2585,completed,pending,resolved-high,
PQ-020,function signature,poor,functions.rst,167,fls_owdlsaaygtho,Functions,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,2335,types-and-traits.rst,Type Coercion,low_forward_ref,true,relocated to first use,relocate-first-use-owner,Before functions.rst:167 fls_owdlsaaygtho deferred function signature beyond coercion rules that first compare signatures. After types-and-traits.rst:2335 fls_ulcdetwp6x96 defines function signature at first use and improves discoverability with no Rust 2021 semantic change.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=function signature,types-and-traits.rst,2335,fls_ulcdetwp6x96,Type Coercion,cf169e7b40c35fe35f35216ddc159d0e11614f00,src/types-and-traits.rst:2335,completed,pending,resolved-high,
PQ-021,generic substitution,poor,generics.rst,360,fls_8j3ARLPm65vI,Generic Arguments,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,1545,types-and-traits.rst,Type Parameters,low_forward_ref,true,relocated to first use,relocate-first-use-owner,Before generics.rst:360 fls_8j3ARLPm65vI delayed generic substitution until late generic arguments and weakened first-use discoverability. After types-and-traits.rst:1545 fls_dCIIVXGhXDlO defines it where type parameters first rely on substitution with no Rust 2021 semantic change.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=generic substitution,types-and-traits.rst,1545,fls_dCIIVXGhXDlO,Type Parameters,125aa4b4f1f9abae9316da89c861d5976170524c,src/types-and-traits.rst:1545,completed,pending,resolved-high,
PQ-022,generic type,poor,generics.rst,69,fls_0GhOR32Z4j7M,Generic Parameters,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,3349,types-and-traits.rst,Subtyping and Variance,low_forward_ref,true,relocated to first use,relocate-first-use-owner,Before generics.rst:69 fls_0GhOR32Z4j7M defined generic type before variance rules that first need this term. After types-and-traits.rst:3349 fls_df87d44kgwcv introduces it at that first normative use with no Rust 2021 semantic change.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=generic type,types-and-traits.rst,3349,fls_df87d44kgwcv,Subtyping and Variance,125aa4b4f1f9abae9316da89c861d5976170524c,src/types-and-traits.rst:3349,completed,pending,resolved-high,
PQ-023,immutable,poor,values.rst,21,fls_CEBZEvtmIRGv,Values,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,4815,expressions.rst,Match Expressions,low_forward_ref,true,relocated to first use,relocate-first-use-owner,Before values.rst:21 fls_CEBZEvtmIRGv required forward lookup from match guard binding rules. After expressions.rst:4816 fls_RPMOAaZ6lflI defines immutable exactly where match guard semantics first depend on it with no Rust 2021 semantic change.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=immutable,expressions.rst,4816,fls_RPMOAaZ6lflI,Match Expressions,125aa4b4f1f9abae9316da89c861d5976170524c,src/expressions.rst:4816,completed,pending,resolved-high,
PQ-024,implementation,poor,implementations.rst,40,fls_ivxpoxggy7s6,Implementations,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,3087,generics.rst,Generic Parameters,low_forward_ref,true,relocated to first use,relocate-first-use-owner,Before implementations.rst:40 fls_ivxpoxggy7s6 delayed implementation for the generic parameter taxonomy that first uses it. After generics.rst:65 fls_z311nxou9yi3 introduces implementation in that ownership context with no Rust 2021 semantic change.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=implementation,generics.rst,65,fls_z311nxou9yi3,Generic Parameters,125aa4b4f1f9abae9316da89c861d5976170524c,src/generics.rst:65,completed,pending,resolved-high,
PQ-025,implemented trait,poor,implementations.rst,73,fls_47x0ep8of8wr,Implementations,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,3618,implementations.rst,Implementation Conformance,low_forward_ref,true,relocated to first use,relocate-first-use-owner,Before implementations.rst:73 fls_47x0ep8of8wr front-loaded implemented trait away from lifetime elision rules that use it. After types-and-traits.rst:3618 fls_ks8wlufmhz6d defines it at first operational use with no Rust 2021 semantic change.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=implemented trait,types-and-traits.rst,3618,fls_ks8wlufmhz6d,Function Lifetime Elision,125aa4b4f1f9abae9316da89c861d5976170524c,src/types-and-traits.rst:3618,completed,pending,resolved-high,
PQ-026,implementing type,poor,implementations.rst,44,fls_yopmjbnw8tbl,Implementations,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,3617,types-and-traits.rst,Function Lifetime Elision,low_forward_ref,true,relocated to first use,relocate-first-use-owner,Before implementations.rst:44 fls_yopmjbnw8tbl defined implementing type before the elision rule where it is first consumed. After types-and-traits.rst:3617 fls_ks8wlufmhz6d improves first-use ordering and discoverability with no Rust 2021 semantic change.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=implementing type,types-and-traits.rst,3617,fls_ks8wlufmhz6d,Function Lifetime Elision,125aa4b4f1f9abae9316da89c861d5976170524c,src/types-and-traits.rst:3617,completed,pending,resolved-high,
PQ-027,initialization,poor,values.rst,27,fls_8rAyM4S3x1ap,Values,1c2c2b73313fb48987ed02ac044ff68cec69968e,ownership-and-deconstruction.rst,36,ownership-and-deconstruction.rst,Initialization,high,false,relocated to conceptual owner,relocate-conceptual-owner,Before values.rst:27 fls_8rAyM4S3x1ap defined initialization outside the ownership chapter that governs initialization state transitions. After ownership-and-deconstruction.rst:36 fls_drfzu02bo7oe places it in its canonical owner with no Rust 2021 semantic change.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=initialization,ownership-and-deconstruction.rst,36,fls_drfzu02bo7oe,Initialization,125aa4b4f1f9abae9316da89c861d5976170524c,src/ownership-and-deconstruction.rst:36,completed,pending,resolved-high,
PQ-028,item,poor,entities-and-resolution.rst,34,fls_ogrs6SwlsaKg,Entities,1c2c2b73313fb48987ed02ac044ff68cec69968e,macros.rst,497,macros.rst,Macro Expansion,low_forward_ref,true,relocated to first use,relocate-first-use-owner,Before entities-and-resolution.rst:34 fls_ogrs6SwlsaKg forced forward lookup from macro expansion output constraints. After macros.rst:641 fls_y20pmwo3v3uu defines item at first expansion use and improves discoverability with no Rust 2021 semantic change.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=item,macros.rst,641,fls_y20pmwo3v3uu,Macro Expansion,125aa4b4f1f9abae9316da89c861d5976170524c,src/macros.rst:641,completed,pending,resolved-high,
PQ-029,lifetime parameter,poor,generics.rst,98,fls_s0nrjwqg2wox,Generic Parameters,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,3260,types-and-traits.rst,Trait and Lifetime Bounds,high,false,relocated to first use,relocate-first-use-owner,Before generics.rst:98 fls_s0nrjwqg2wox delayed lifetime parameter for outlives bounds that first consume it. After types-and-traits.rst:3260 fls_1Sm2Yq1Ow76f defines it in that first normative rule with no Rust 2021 semantic change.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=lifetime parameter,types-and-traits.rst,3260,fls_1Sm2Yq1Ow76f,Trait and Lifetime Bounds,125aa4b4f1f9abae9316da89c861d5976170524c,src/types-and-traits.rst:3260,completed,pending,resolved-high,
PQ-030,method,poor,associated-items.rst,170,fls_oy92gzxgc273,Associated Items,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,3607,expressions.rst,Method Call Expressions,low_forward_ref,true,relocated to first use,relocate-first-use-owner,Before associated-items.rst:170 fls_oy92gzxgc273 defined method away from method call evaluation rules. After expressions.rst:3608 fls_b7i26954j1hc defines method where invocation semantics first require it with no Rust 2021 semantic change.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=method,expressions.rst,3608,fls_b7i26954j1hc,Method Call Expressions,125aa4b4f1f9abae9316da89c861d5976170524c,src/expressions.rst:3608,completed,pending,resolved-high,
PQ-031,mutability,poor,values.rst,18,fls_RJDPClYE8a9x,Values,1c2c2b73313fb48987ed02ac044ff68cec69968e,types-and-traits.rst,2197,types-and-traits.rst,Type Unification,low_forward_ref,true,relocated to first use,relocate-first-use-owner,Before values.rst:18 fls_RJDPClYE8a9x separated mutability from pointer and reference unification where it is first constrained. After types-and-traits.rst:2197 fls_x9933rjecrna defines it at first use with no Rust 2021 semantic change.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=mutability,types-and-traits.rst,2197,fls_x9933rjecrna,Type Unification,125aa4b4f1f9abae9316da89c861d5976170524c,src/types-and-traits.rst:2197,completed,pending,resolved-high,
PQ-032,mutable,poor,values.rst,24,fls_U9CPQq4fs7IK,Values,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,3103,expressions.rst,Indexing Expressions,low_forward_ref,true,relocated to first use,relocate-first-use-owner,Before values.rst:24 fls_U9CPQq4fs7IK left indexing mutability requirements with a forward dependency. After expressions.rst:3104 fls_y3sduoma6q9v defines mutable in the first index mutability rule with no Rust 2021 semantic change.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=mutable,expressions.rst,3104,fls_y3sduoma6q9v,Indexing Expressions,125aa4b4f1f9abae9316da89c861d5976170524c,src/expressions.rst:3104,completed,pending,resolved-high,
PQ-033,mutable reference,poor,ownership-and-deconstruction.rst,128,fls_fckoj1jh5mrc,References,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,5264,expressions.rst,Capturing,low_forward_ref,true,relocated to first use,relocate-first-use-owner,Before ownership-and-deconstruction.rst:128 fls_fckoj1jh5mrc required forward reference from capture mode behavior. After expressions.rst:5265 fls_xTNFfkxHm5yy defines mutable reference where capture semantics first use it with no Rust 2021 semantic change.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=mutable reference,expressions.rst,5265,fls_xTNFfkxHm5yy,Capturing,125aa4b4f1f9abae9316da89c861d5976170524c,src/expressions.rst:5265,completed,pending,resolved-high,
PQ-034,mutable static,poor,values.rst,187,fls_doi4z6u55bi7,Statics,1c2c2b73313fb48987ed02ac044ff68cec69968e,expressions.rst,466,expressions.rst,Place Expressions,low_forward_ref,true,relocated to first use,relocate-first-use-owner,Before values.rst:187 fls_doi4z6u55bi7 delayed mutable static beyond place expression mutability rules. After expressions.rst:466 fls_ilaqmj3hc5uv defines it at first place mutability use with no Rust 2021 semantic change.,pass,/home/pete.levasseur/opencode-project-agents/fls/reports/glossary-tshepang-20260210T174752Z/phase1-main-text-coverage/feedback/fls-pr6-placement-fitness.json:term=mutable static,expressions.rst,466,fls_ilaqmj3hc5uv,Place Expressions,125aa4b4f1f9abae9316da89c861d5976170524c,src/expressions.rst:466,completed,pending,resolved-high,
