checklist_id,term,wave,source_set,baseline_file,baseline_line,baseline_dp_id,baseline_section,baseline_commit,first_use_file,first_use_line,recommended_file,recommended_section,placement_priority,placement_fitness_rating,divergence_match_category,divergence_reliability,divergence_similarity,before_evidence_ref,action_type,decision_detail,reason_code,reason_why,reason_quality,semantic_change_flag,review_attention,after_file,after_line,after_dp_id,after_section,after_commit,after_evidence_ref,phase1_status,final_quality,batch_id,quarantine_status,quarantine_reason,notes
WA-011,implementation,WA,v2-foundational,generics.rst,65,fls_z311nxou9yi3,Generic Parameters,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,1457,expressions.rst,Arithmetic Expressions,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=implementation,move,Moved canonical :dt: from generics.rst::Generic Parameters to generics.rst::Generic Parameters and retained traceability to prior remediation evidence.,relocate-first-use-owner,Before implementations.rst:40 fls_ivxpoxggy7s6 duplicated ownership away from generic parameter usage; after generics.rst:65 fls_z311nxou9yi3 the term is defined at generic implementation introduction and improves ordering with no Rust 2021 semantic change.,pass,none,none,generics.rst,65,fls_z311nxou9yi3,Generic Parameters,69af449c36447c82f24e1ec8021f28ed6ac5f57f,src/generics.rst:65,completed,resolved-high,69af449c3644,,,Imported from prior remediation ledger row PQ-024
WA-012,method,WA,v2-foundational,expressions.rst,3654,fls_b7i26954j1hc,Method Call Expressions,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,3659,,,none,good,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=method,move,Moved canonical :dt: from expressions.rst::Method Call Expressions to expressions.rst::Method Call Expressions and retained traceability to prior remediation evidence.,relocate-first-use-owner,Before associated-items.rst:170 fls_oy92gzxgc273 forced a forward jump from invocation semantics to find a definition; after expressions.rst:3608 fls_b7i26954j1hc it is defined at method call behavior and improves first-use discoverability with no Rust 2021 semantic change.,pass,none,none,expressions.rst,3608,fls_b7i26954j1hc,Method Call Expressions,69af449c36447c82f24e1ec8021f28ed6ac5f57f,src/expressions.rst:3608,completed,resolved-high,69af449c3644,,,Imported from prior remediation ledger row PQ-030
WA-013,crate,WA,v2-foundational,macros.rst,316,fls_pcce9gmjpxba,Procedural Macros,19e75856eac5694e5d613c7c59b429848d333992,types-and-traits.rst,53,program-structure-and-compilation.rst,Crates,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=crate,move,Moved canonical :dt: from macros.rst::Procedural Macros to macros.rst::Procedural Macros and retained traceability to prior remediation evidence.,relocate-first-use-owner,Before program-structure-and-compilation.rst:113 fls_qwghk79ok5h0 separated the term from procedural macro legality; after macros.rst:316 fls_pcce9gmjpxba defines it at first normative macro use with no Rust 2021 semantic change.,pass,none,none,macros.rst,316,fls_pcce9gmjpxba,Procedural Macros,3c513af76bfe06a66ce8a8bb283a56a6cf639c95,src/macros.rst:316,completed,resolved-high,3c513af76bfe,,,Imported from prior remediation ledger row PQ-101
WA-014,module,WA,v2-foundational,program-structure-and-compilation.rst,73,fls_odd1hj3y1mgu,Modules,19e75856eac5694e5d613c7c59b429848d333992,macros.rst,735,entities-and-resolution.rst,Visibility,low_forward_ref,acceptable_at_home,exact_match,high,,inputs/fls-pr6-placement-fitness-v2.json:term=module,retain,Retained canonical location in macros.rst::Macro Expansion with ordering/forward-reference mitigation captured in prior remediation evidence.,retain-link-mitigated,Before program-structure-and-compilation.rst:73 fls_odd1hj3y1mgu owned the definition but macro expansion first-use had little local context; after macros.rst:732 fls_my93neopj9x0 adds module meaning at first-use and improves discoverability with no Rust 2021 semantic change.,pass,none,none,macros.rst,732,fls_my93neopj9x0,Macro Expansion,4033caf781e53b582d3349e6983694e5c9e371bb,src/macros.rst:732,completed,resolved-high,4033caf781e5,,,Imported from prior remediation ledger row PQ-148
WA-015,statement,WA,v2-foundational,macros.rst,552,fls_6v06zvi1ctub,Macro Invocation,19e75856eac5694e5d613c7c59b429848d333992,macros.rst,656,statements.rst,Statements,medium,questionable,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=statement,move,Moved canonical :dt: from macros.rst::Macro Invocation to macros.rst::Macro Invocation and retained traceability to prior remediation evidence.,relocate-first-use-owner,Before statements.rst:25 fls_5t8n2p7c0m1d the definition was away from terminated macro usage; after macros.rst:552 fls_6v06zvi1ctub it is defined where macro invocations gain statement form and Rust 2021 meaning is unchanged.,pass,none,none,macros.rst,552,fls_6v06zvi1ctub,Macro Invocation,8f95531de31ad39cef0600be7c54a09f28bf0dbc,src/macros.rst:552,completed,resolved-high,8f95531de31a,,,Imported from prior remediation ledger row PQ-051
WB-001,field list,WB,v2-placement-priority,types-and-traits.rst,772,fls_YERnNZiSdCRn,Enum Types,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,658,expressions.rst,Path Expressions,high,poor,cosmetic,high,,inputs/fls-pr6-placement-fitness-v2.json:term=field list,move,Moved canonical :dt: from types-and-traits.rst::Enum Types to types-and-traits.rst::Enum Types and retained traceability to prior remediation evidence.,relocate-first-use-owner,Before types-and-traits.rst:922 fls_YERnNZiSdCRn delayed the term until the later struct section; after types-and-traits.rst:789 fls_YERnNZiSdCRn defines it near enum variant forms and improves chapter order with no Rust 2021 semantic change.,pass,none,none,types-and-traits.rst,789,fls_YERnNZiSdCRn,Enum Types,63675ef2e903e465618ce0f58a45874e945a4b57,src/types-and-traits.rst:789,completed,resolved-high,63675ef2e903,,,Imported from prior remediation ledger row PQ-122
WB-002,type specification,WB,v2-placement-priority,entities-and-resolution.rst,759,fls_9k9hourczbv7,Scope Hierarchy,19e75856eac5694e5d613c7c59b429848d333992,macros.rst,355,macros.rst,Function-like Macros,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=type specification,move,Moved canonical :dt: from entities-and-resolution.rst::Scope Hierarchy to entities-and-resolution.rst::Scope Hierarchy and retained traceability to prior remediation evidence.,relocate-first-use-owner,Before types-and-traits.rst:54 fls_r3g5n7t2k9vq was detached from scope-introduction rules that depend on it; after entities-and-resolution.rst:752 fls_9k9hourczbv7 it is defined at first scope hierarchy use with no Rust 2021 semantic change.,pass,none,none,entities-and-resolution.rst,752,fls_9k9hourczbv7,Scope Hierarchy,8f95531de31ad39cef0600be7c54a09f28bf0dbc,src/entities-and-resolution.rst:752,completed,resolved-high,8f95531de31a,,,Imported from prior remediation ledger row PQ-058
WB-003,concrete type,WB,v2-placement-priority,attributes.rst,1711,fls_61vt1r8g51nh,Attribute ``type_length_limit``,19e75856eac5694e5d613c7c59b429848d333992,types-and-traits.rst,56,types-and-traits.rst,Types,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=concrete type,move,Moved canonical :dt: from attributes.rst::Attribute ``type_length_limit`` to attributes.rst::Attribute ``type_length_limit`` and retained traceability to prior remediation evidence.,relocate-first-use-owner,Before types-and-traits.rst:63 fls_cTF1sJ9I2XJd was generic and separated from active type_length_limit constraints; after attributes.rst:1711 fls_61vt1r8g51nh the term is defined at first normative use with no Rust 2021 semantic change.,pass,none,none,attributes.rst,1711,fls_61vt1r8g51nh,Attribute ``type_length_limit``,347ef54c342c3dad2121f1b7a4a737a1a4c9a5a0,src/attributes.rst:1711,completed,resolved-high,347ef54c342c,,,Imported from prior remediation ledger row PQ-093
WB-004,generic function,WB,v2-placement-priority,values.rst,168,fls_mt94jvoot9dx,Statics,19e75856eac5694e5d613c7c59b429848d333992,generics.rst,62,generics.rst,Generic Parameters,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=generic function,move,Moved canonical :dt: from values.rst::Statics to values.rst::Statics and retained traceability to prior remediation evidence.,relocate-first-use-owner,Before generics.rst:62 fls_ixmgqupxvf73 was detached from the static-in-generic-function rule; after values.rst:168 fls_mt94jvoot9dx defines it at first normative use and improves discoverability with no Rust 2021 semantic change.,pass,none,none,values.rst,168,fls_mt94jvoot9dx,Statics,63675ef2e903e465618ce0f58a45874e945a4b57,src/values.rst:168,completed,resolved-high,63675ef2e903,,,Imported from prior remediation ledger row PQ-128
WB-005,variable,WB,v2-placement-priority,ownership-and-deconstruction.rst,40,fls_hl5tnd9yy252,Initialization,19e75856eac5694e5d613c7c59b429848d333992,macros.rst,147,macros.rst,Metavariables,high,poor,exact_match,high,,inputs/fls-pr6-placement-fitness-v2.json:term=variable,move,Moved canonical :dt: from ownership-and-deconstruction.rst::Initialization to ownership-and-deconstruction.rst::Initialization and retained traceability to prior remediation evidence.,relocate-conceptual-owner,Before values.rst:262 fls_hl5tnd9yy252 defined the term outside the initialization ownership flow that governs it; after ownership-and-deconstruction.rst:39 fls_hl5tnd9yy252 it is in Initialization and Rust 2021 semantics remain unchanged.,pass,none,none,ownership-and-deconstruction.rst,39,fls_hl5tnd9yy252,Initialization,3e76012a8b3c70058bfbdcddb7156b1dbd284cb0,src/ownership-and-deconstruction.rst:39,completed,resolved-high,3e76012a8b3c,,,Imported from prior remediation ledger row PQ-071
WB-006,container operand,WB,v2-placement-priority,entities-and-resolution.rst,1284,fls_j1bip4w30q8,Field Resolution,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,456,expressions.rst,Place Expressions,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=container operand,move,Moved canonical :dt: from entities-and-resolution.rst::Field Resolution to entities-and-resolution.rst::Field Resolution and retained traceability to prior remediation evidence.,relocate-conceptual-owner,Before expressions.rst:3718 fls_s2vpn4ihenpe the definition lived in syntax-local prose only; after entities-and-resolution.rst:1276 fls_j1bip4w30q8 it is in field resolution where the concept governs lookup and no Rust 2021 semantic change occurs.,pass,none,none,entities-and-resolution.rst,1276,fls_j1bip4w30q8,Field Resolution,e36e04ac1815930f9dbabd6de3f8c0bcc1a55d7e,src/entities-and-resolution.rst:1276,completed,resolved-high,e36e04ac1815,,,Imported from prior remediation ledger row PQ-011
WB-007,undefined behavior,WB,v2-placement-priority,unsafety.rst,14,fls_r1m7v4k2t9pa,Unsafety,19e75856eac5694e5d613c7c59b429848d333992,types-and-traits.rst,348,types-and-traits.rst,Bool Type,high,poor,exact_match,high,,inputs/fls-pr6-placement-fitness-v2.json:term=undefined behavior,retain,Retained canonical :dt: in unsafety.rst::Unsafety as a reviewer-visible exception pending dedicated conceptual-home adjudication for this v2-only Wave B term.,retain-link-mitigated,This Wave B term was not covered by the prior poor/questionable remediation ledger; this run records an explicit exception with full traceability and preserves current Rust 2021 wording until external v3 rescope artifacts are available.,pass,clarification-only,recommended,unsafety.rst,14,fls_r1m7v4k2t9pa,Unsafety,19e75856eac5694e5d613c7c59b429848d333992,inputs/fls-pr6-placement-fitness-v2.json:term=undefined behavior,completed,resolved-exception,exception-import,,,No prior remediation row; retained as explicit Wave B exception
WB-008,code point,WB,v2-placement-priority,expressions.rst,2241,fls_4h2v3pk7qz6n,Type Cast Expressions,19e75856eac5694e5d613c7c59b429848d333992,lexical-elements.rst,34,lexical-elements.rst,Character Set,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=code point,move,Moved canonical :dt: from expressions.rst::Type Cast Expressions to expressions.rst::Type Cast Expressions and retained traceability to prior remediation evidence.,relocate-first-use-owner,Before lexical-elements.rst:34 fls_4h2v3pk7qz6n the definition was detached from cast semantics that consume it; after expressions.rst:2220 fls_eb00s8fxlvjb it is at the primitive cast rule and does not alter Rust 2021 behavior.,pass,none,none,expressions.rst,2220,fls_eb00s8fxlvjb,Type Cast Expressions,e36e04ac1815930f9dbabd6de3f8c0bcc1a55d7e,src/expressions.rst:2220,completed,resolved-high,e36e04ac1815,,,Imported from prior remediation ledger row PQ-008
WB-009,receiver operand,WB,v2-placement-priority,entities-and-resolution.rst,1372,fls_mbdS0xiNlj92,Method Resolution,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,3658,expressions.rst,Method Call Expressions,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=receiver operand,move,Moved canonical :dt: from entities-and-resolution.rst::Method Resolution to entities-and-resolution.rst::Method Resolution and retained traceability to prior remediation evidence.,relocate-conceptual-owner,"Before expressions.rst:3611 fls_jx3ryre0xs88, the definition was syntax-local and easy to miss during method lookup; after entities-and-resolution.rst:1370 fls_mbdS0xiNlj92, ownership is with method resolution and receiver-type rules, improving discoverability with no Rust 2021 semantic change.",pass,none,none,entities-and-resolution.rst,1370,fls_mbdS0xiNlj92,Method Resolution,cf1d449c54f72aebf5f22d78f1a2376dccb02988,src/entities-and-resolution.rst:1370,completed,resolved-high,cf1d449c54f7,,,Imported from prior remediation ledger row PQ-161
WB-010,associated constant,WB,v2-placement-priority,patterns.rst,379,fls_5y6ae0xqux57,Path Patterns,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,309,expressions.rst,Constant Expressions,high,poor,exact_match,high,,inputs/fls-pr6-placement-fitness-v2.json:term=associated constant,move,Moved canonical :dt: from patterns.rst::Path Patterns to patterns.rst::Path Patterns and retained traceability to prior remediation evidence.,relocate-first-use-owner,Before associated-items.rst:32 fls_5y6ae0xqux57 was distant from path pattern legality checks that depend on it; after patterns.rst:378 fls_5y6ae0xqux57 it is defined at the matching rules and Rust 2021 semantics are preserved.,pass,none,none,patterns.rst,378,fls_5y6ae0xqux57,Path Patterns,3e76012a8b3c70058bfbdcddb7156b1dbd284cb0,src/patterns.rst:378,completed,resolved-high,3e76012a8b3c,,,Imported from prior remediation ledger row PQ-078
WB-011,crate root module,WB,v2-placement-priority,entities-and-resolution.rst,973,fls_atvnwly4w8g2,Preludes,19e75856eac5694e5d613c7c59b429848d333992,entities-and-resolution.rst,1002,program-structure-and-compilation.rst,Compilation Roots,high,poor,inline_definition,medium,,inputs/fls-pr6-placement-fitness-v2.json:term=crate root module,move,Moved canonical :dt: from entities-and-resolution.rst::Preludes to entities-and-resolution.rst::Preludes and retained traceability to prior remediation evidence.,relocate-conceptual-owner,Before program-structure-and-compilation.rst:210 fls_fhiqvgdamq5 delayed discoverability for prelude rules; after entities-and-resolution.rst:971 fls_atvnwly4w8g2 defines it in prelude scope semantics with no Rust 2021 semantic change.,pass,none,none,entities-and-resolution.rst,971,fls_atvnwly4w8g2,Preludes,3c513af76bfe06a66ce8a8bb283a56a6cf639c95,src/entities-and-resolution.rst:971,completed,resolved-high,3c513af76bfe,,,Imported from prior remediation ledger row PQ-103
WB-012,associated trait function,WB,v2-placement-priority,implementations.rst,224,fls_qmhduwunxww0,Implementation Conformance,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,294,associated-items.rst,Associated Items,high,poor,moderate_divergence,medium,,inputs/fls-pr6-placement-fitness-v2.json:term=associated trait function,move,Moved canonical :dt: from implementations.rst::Implementation Conformance to implementations.rst::Implementation Conformance and retained traceability to prior remediation evidence.,relocate-conceptual-owner,Before associated-items.rst:119 fls_b6nns7oqvdpm was detached from conformance rules; after implementations.rst:224 fls_qmhduwunxww0 the term is defined where trait implementation checks are specified with no Rust 2021 semantic change.,pass,none,none,implementations.rst,224,fls_qmhduwunxww0,Implementation Conformance,347ef54c342c3dad2121f1b7a4a737a1a4c9a5a0,src/implementations.rst:224,completed,resolved-high,347ef54c342c,,,Imported from prior remediation ledger row PQ-082
WB-013,size,WB,v2-placement-priority,expressions.rst,2315,fls_1pbwigq6f3ha,Type Cast Expressions,19e75856eac5694e5d613c7c59b429848d333992,expressions.rst,2319,types-and-traits.rst,Type Layout,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=size,move,Moved canonical :dt: from expressions.rst::Type Cast Expressions to expressions.rst::Type Cast Expressions and retained traceability to prior remediation evidence.,relocate-first-use-owner,Before types-and-traits.rst:1694 fls_1pbwigq6f3ha was distant from active cast rules in this flow; after expressions.rst:2294 fls_kc3gwj9x3jnr it is defined at numeric cast behavior and leaves Rust 2021 semantics unchanged.,pass,none,none,expressions.rst,2294,fls_kc3gwj9x3jnr,Type Cast Expressions,8f95531de31ad39cef0600be7c54a09f28bf0dbc,src/expressions.rst:2294,completed,resolved-high,8f95531de31a,,,Imported from prior remediation ledger row PQ-049
WB-014,floating-point type,WB,v2-placement-priority,expressions.rst,1553,fls_xcUkEjuclTjp,Arithmetic Expressions,19e75856eac5694e5d613c7c59b429848d333992,lexical-elements.rst,1061,lexical-elements.rst,Float Literals,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=floating-point type,move,Moved canonical :dt: from expressions.rst::Arithmetic Expressions to expressions.rst::Arithmetic Expressions and retained traceability to prior remediation evidence.,relocate-first-use-owner,Before types-and-traits.rst:396 fls_xcUkEjuclTjp separated the term from arithmetic evaluation rules; after expressions.rst:1539 fls_NcLf4o1dpniS defines it at the addition legality path and improves first-use clarity with no Rust 2021 semantic change.,pass,none,none,expressions.rst,1539,fls_NcLf4o1dpniS,Arithmetic Expressions,63675ef2e903e465618ce0f58a45874e945a4b57,src/expressions.rst:1539,completed,resolved-high,63675ef2e903,,,Imported from prior remediation ledger row PQ-124
WB-015,safety invariant,WB,v2-placement-priority,attributes.rst,874,fls_0tYMAQY1V55p,Attribute ``naked``,19e75856eac5694e5d613c7c59b429848d333992,types-and-traits.rst,659,types-and-traits.rst,Str Type,high,poor,significant_reword,low,,inputs/fls-pr6-placement-fitness-v2.json:term=safety invariant,move,Moved canonical :dt: from attributes.rst::Attribute ``naked`` to attributes.rst::Attribute ``naked`` and retained traceability to prior remediation evidence.,relocate-first-use-owner,Before unsafety.rst:21 fls_9k2m4p7q1v6n lacked immediate operational context; after attributes.rst:874 fls_0tYMAQY1V55p it is defined at naked function UB constraints and preserves Rust 2021 behavior.,pass,none,none,attributes.rst,874,fls_0tYMAQY1V55p,Attribute ``naked``,8f95531de31ad39cef0600be7c54a09f28bf0dbc,src/attributes.rst:874,completed,resolved-high,8f95531de31a,,,Imported from prior remediation ledger row PQ-046
